outlet,Probability_con,label,Drives_zscore,Cognition_zscore,emo_pos_zscore,emo_neg_zscore,emo_anx_zscore,emo_anger_zscore,emo_sad_zscore,Social_zscore,Lifestyle_zscore,Physical_zscore,focuspast_zscore,focuspresent_zscore,focusfuture_zscore,Moral_zscore,Affect_zscore,Moral-Emotional_zscore
Daily Caller,0.999891519546508,0,-0.9535509059374359,0.005567474956818005,-0.5063547710043653,0.5354799160073294,-0.4628691283373618,0.6485929121301026,-0.26037696319299514,0.25657628332535026,-0.29863464812034474,-0.2178651084137919,0.29221815958015007,-0.5658338660235221,-0.7483670703527106,0.023331783734745107,-1.5823582318966034,0.359186674826251
NYTimes,2.3444998078e-05,1,-1.6205712728007056,-0.4695877153233042,-0.5063547710043653,-0.3771856221298738,-0.4628691283373618,-0.556864502780038,1.5336078549788372,-1.5884699202212582,-0.55810083706645,-0.5542342506928263,-0.6838507445844737,-0.07419435419040438,-0.558604571296332,-0.16990203064788692,0.31299773251372554,1.2255367951408502
HuffPost,3.92861693399e-05,1,0.9919251640804337,0.7183002603770017,-0.5063547710043653,-0.9114288639662853,-0.4628691283373618,-0.556864502780038,-0.26037696319299514,0.7433544306440297,0.7168623327549292,-0.751133260807383,-0.889909735463672,-0.008153225735209222,1.0227495875068222,-0.06971494424812189,-0.47221682753371497,-0.38197311978670395
FoxNews,0.999970912933349,0,-0.1679491405206964,1.145939931629112,-0.5063547710043653,0.7135609966194665,0.45269618046181537,-0.556864502780038,1.5336078549788372,0.33770597454512985,-1.510968048196112,-0.3573352405782696,0.12954000888604575,0.13126693433686892,-0.8622245697865376,-0.48777533149541474,0.617208192145422,0.9867380995931953
CNN,2.78073130175e-05,1,-0.1679491405206964,0.6232692223209769,-0.5063547710043653,0.7135609966194665,1.3682614892609926,0.31983179897279146,-0.26037696319299514,0.40313314488366203,-1.0770332149586601,-0.15223210504227302,-0.5265951989135066,1.9070394994654436,-0.558604571296332,-0.725825220780695,1.6754901508826228,-0.6855179466653106
Breitbart,0.999970555305481,0,0.4397805270658383,0.6103104444042465,0.343233770949268,-0.9114288639662853,-0.4628691283373618,-0.556864502780038,-0.26037696319299514,1.1333003658616814,-0.6117834968484026,0.6681804371017133,-0.7543446098852521,0.5421895113914152,0.7191295890166166,1.390402941021491,-0.2318040393277399,0.4727815177191913
Daily Caller,0.999963760375976,0,-0.05677907937681788,0.9558778555170624,-0.5063547710043653,0.9806826175376722,2.779758006993058,-0.556864502780038,-0.26037696319299514,0.34817432179929525,-0.5402066171391323,-0.751133260807383,0.9971568125879338,-0.1402354826455992,-0.09052374029059838,-0.6527338463240875,0.34891135753598995,-1.521645969794564
CNN,0.0001117585561587,1,-1.2907667580738666,-0.4350309742120225,0.343233770949268,-0.35492548705335664,-0.4628691283373618,-0.556864502780038,-0.26037696319299514,-1.9653304213712035,1.2939509254109216,-0.3409269897353899,-0.6079342742605585,0.18997015963037558,0.415509590526411,-1.173194840299583,-1.0898289903387222,1.5970154498082254
Breitbart,0.999980330467224,0,2.3333772352165645,-0.016030488237733318,-0.5063547710043653,-0.9114288639662853,-0.4628691283373618,-0.556864502780038,-0.26037696319299514,0.518284964679479,0.10845885522613066,-0.751133260807383,-0.7923028450472098,-0.5878475755085871,0.36490625744471,-0.018575549715732352,-1.3891535245801783,-1.2436098397201827
Daily Caller,0.999928951263427,0,0.38419549649389906,-1.9944039168586059,0.3772173126274133,-0.33266535197683944,-0.4628691283373618,0.39288982411886064,-0.26037696319299514,1.7221448989084711,0.1397737400989366,-0.5378259998499465,1.550262524947887,-1.4390443422644328,0.13719125857705589,1.6927125719063516,0.6926698782065791,0.25835853305276385
